from_zone,to_zone,vehicles_per_hour
snv_syd,bbv_west,1
snv_syd,e18_vest,139
snv_syd,e18_ost,121
snv_syd,ring3_nord,52
snv_syd,snv_nordost,35
snv_syd,wideroe_nordvest,87
snv_syd,odd_nansens_vest,18
snv_syd,snv_east,5
snv_syd,martin_linges_sydost,23
snv_syd,rolfsbukt_syd,57
bbv_west,snv_syd,11
bbv_west,e18_vest,1
bbv_west,odd_nansens_vest,1
bbv_west,snv_east,20
bbv_west,martin_linges_sydost,2
bbv_west,rolfsbukt_syd,6
e18_vest,snv_syd,124
e18_vest,bbv_west,2
e18_vest,wideroe_nordvest,161
e18_vest,odd_nansens_vest,10
e18_vest,snv_east,9
e18_vest,martin_linges_sydost,28
e18_vest,rolfsbukt_syd,69
e18_ost,snv_syd,108
e18_ost,bbv_west,2
e18_ost,wideroe_nordvest,141
e18_ost,odd_nansens_vest,8
e18_ost,snv_east,8
e18_ost,martin_linges_sydost,24
e18_ost,rolfsbukt_syd,61
ring3_nord,snv_syd,46
ring3_nord,bbv_west,1
ring3_nord,wideroe_nordvest,60
ring3_nord,odd_nansens_vest,4
ring3_nord,snv_east,4
ring3_nord,martin_linges_sydost,10
ring3_nord,rolfsbukt_syd,26
snv_nordost,snv_syd,31
snv_nordost,wideroe_nordvest,40
snv_nordost,odd_nansens_vest,2
snv_nordost,snv_east,2
snv_nordost,martin_linges_sydost,7
snv_nordost,rolfsbukt_syd,17
wideroe_nordvest,snv_syd,313
wideroe_nordvest,bbv_west,5
wideroe_nordvest,e18_vest,162
wideroe_nordvest,e18_ost,141
wideroe_nordvest,ring3_nord,61
wideroe_nordvest,snv_nordost,40
wideroe_nordvest,odd_nansens_vest,24
wideroe_nordvest,snv_east,24
wideroe_nordvest,martin_linges_sydost,70
wideroe_nordvest,rolfsbukt_syd,175
odd_nansens_vest,snv_syd,1
odd_nansens_vest,e18_vest,4
odd_nansens_vest,e18_ost,3
odd_nansens_vest,ring3_nord,1
odd_nansens_vest,snv_nordost,1
odd_nansens_vest,rolfsbukt_syd,1
snv_east,snv_syd,17
snv_east,e18_vest,103
snv_east,e18_ost,91
snv_east,ring3_nord,39
snv_east,snv_nordost,26
snv_east,wideroe_nordvest,65
snv_east,odd_nansens_vest,13
snv_east,martin_linges_sydost,4
snv_east,rolfsbukt_syd,10
martin_linges_sydost,snv_syd,55
martin_linges_sydost,bbv_west,1
martin_linges_sydost,e18_vest,121
martin_linges_sydost,e18_ost,106
martin_linges_sydost,ring3_nord,46
martin_linges_sydost,snv_nordost,30
martin_linges_sydost,wideroe_nordvest,76
martin_linges_sydost,odd_nansens_vest,16
martin_linges_sydost,snv_east,4
martin_linges_sydost,rolfsbukt_syd,47
rolfsbukt_syd,snv_syd,11
rolfsbukt_syd,e18_vest,25
rolfsbukt_syd,e18_ost,22
rolfsbukt_syd,ring3_nord,10
rolfsbukt_syd,snv_nordost,6
rolfsbukt_syd,wideroe_nordvest,16
rolfsbukt_syd,odd_nansens_vest,3
rolfsbukt_syd,snv_east,1
rolfsbukt_syd,martin_linges_sydost,8
