from_zone,to_zone,vehicles_per_hour
snv_syd,bbv_west,1
snv_syd,e18_vest,111
snv_syd,e18_ost,97
snv_syd,ring3_nord,42
snv_syd,snv_nordost,28
snv_syd,wideroe_nordvest,70
snv_syd,odd_nansens_vest,14
snv_syd,snv_east,4
snv_syd,martin_linges_sydost,18
snv_syd,rolfsbukt_syd,46
bbv_west,snv_syd,9
bbv_west,e18_vest,1
bbv_west,odd_nansens_vest,1
bbv_west,snv_east,16
bbv_west,martin_linges_sydost,2
bbv_west,rolfsbukt_syd,5
e18_vest,snv_syd,99
e18_vest,bbv_west,2
e18_vest,wideroe_nordvest,129
e18_vest,odd_nansens_vest,8
e18_vest,snv_east,7
e18_vest,martin_linges_sydost,22
e18_vest,rolfsbukt_syd,55
e18_ost,snv_syd,86
e18_ost,bbv_west,1
e18_ost,wideroe_nordvest,113
e18_ost,odd_nansens_vest,6
e18_ost,snv_east,6
e18_ost,martin_linges_sydost,19
e18_ost,rolfsbukt_syd,49
ring3_nord,snv_syd,37
ring3_nord,bbv_west,1
ring3_nord,wideroe_nordvest,48
ring3_nord,odd_nansens_vest,3
ring3_nord,snv_east,3
ring3_nord,martin_linges_sydost,8
ring3_nord,rolfsbukt_syd,21
snv_nordost,snv_syd,25
snv_nordost,wideroe_nordvest,32
snv_nordost,odd_nansens_vest,1
snv_nordost,snv_east,1
snv_nordost,martin_linges_sydost,6
snv_nordost,rolfsbukt_syd,14
wideroe_nordvest,snv_syd,250
wideroe_nordvest,bbv_west,4
wideroe_nordvest,e18_vest,129
wideroe_nordvest,e18_ost,113
wideroe_nordvest,ring3_nord,49
wideroe_nordvest,snv_nordost,32
wideroe_nordvest,odd_nansens_vest,19
wideroe_nordvest,snv_east,19
wideroe_nordvest,martin_linges_sydost,56
wideroe_nordvest,rolfsbukt_syd,140
odd_nansens_vest,snv_syd,1
odd_nansens_vest,e18_vest,3
odd_nansens_vest,e18_ost,2
odd_nansens_vest,ring3_nord,1
odd_nansens_vest,snv_nordost,1
odd_nansens_vest,rolfsbukt_syd,1
snv_east,snv_syd,14
snv_east,e18_vest,82
snv_east,e18_ost,73
snv_east,ring3_nord,31
snv_east,snv_nordost,21
snv_east,wideroe_nordvest,52
snv_east,odd_nansens_vest,10
snv_east,martin_linges_sydost,3
snv_east,rolfsbukt_syd,8
martin_linges_sydost,snv_syd,44
martin_linges_sydost,bbv_west,1
martin_linges_sydost,e18_vest,97
martin_linges_sydost,e18_ost,85
martin_linges_sydost,ring3_nord,37
martin_linges_sydost,snv_nordost,24
martin_linges_sydost,wideroe_nordvest,61
martin_linges_sydost,odd_nansens_vest,13
martin_linges_sydost,snv_east,3
martin_linges_sydost,rolfsbukt_syd,38
rolfsbukt_syd,snv_syd,9
rolfsbukt_syd,e18_vest,20
rolfsbukt_syd,e18_ost,18
rolfsbukt_syd,ring3_nord,8
rolfsbukt_syd,snv_nordost,5
rolfsbukt_syd,wideroe_nordvest,13
rolfsbukt_syd,odd_nansens_vest,2
rolfsbukt_syd,snv_east,1
rolfsbukt_syd,martin_linges_sydost,6
