intersection,from,to,vehicles_per_hour
nordre_rundkjoring,snv_nord,southbound,1151
nordre_rundkjoring,snv_nord,wideroev,494
nordre_rundkjoring,wideroev,snv_nord,419
nordre_rundkjoring,wideroev,southbound,785
nordre_rundkjoring,southbound,snv_nord,203
nordre_rundkjoring,southbound,wideroev,833
sondre_rundkjoring,snv_sor,northbound,880
sondre_rundkjoring,snv_sor,rolfsbuktv,47
sondre_rundkjoring,rolfsbuktv,northbound,169
sondre_rundkjoring,northbound,snv_sor,386
sondre_rundkjoring,northbound,rolfsbuktv,338
