from_zone,to_zone,vehicles_per_hour
snv_syd,bbv_west,1
snv_syd,e18_vest,158
snv_syd,e18_ost,138
snv_syd,ring3_nord,59
snv_syd,snv_nordost,39
snv_syd,wideroe_nordvest,99
snv_syd,odd_nansens_vest,21
snv_syd,snv_east,13
snv_syd,martin_linges_sydost,110
snv_syd,rolfsbukt_syd,14
bbv_west,snv_syd,6
bbv_west,e18_vest,2
bbv_west,e18_ost,2
bbv_west,ring3_nord,1
bbv_west,snv_nordost,1
bbv_west,odd_nansens_vest,3
bbv_west,snv_east,80
bbv_west,martin_linges_sydost,13
bbv_west,rolfsbukt_syd,2
e18_vest,snv_syd,79
e18_vest,bbv_west,1
e18_vest,wideroe_nordvest,146
e18_vest,odd_nansens_vest,14
e18_vest,snv_east,45
e18_vest,martin_linges_sydost,178
e18_vest,rolfsbukt_syd,23
e18_ost,snv_syd,70
e18_ost,bbv_west,1
e18_ost,wideroe_nordvest,128
e18_ost,odd_nansens_vest,12
e18_ost,snv_east,39
e18_ost,martin_linges_sydost,156
e18_ost,rolfsbukt_syd,20
ring3_nord,snv_syd,30
ring3_nord,wideroe_nordvest,55
ring3_nord,odd_nansens_vest,5
ring3_nord,snv_east,17
ring3_nord,martin_linges_sydost,67
ring3_nord,rolfsbukt_syd,9
snv_nordost,snv_syd,20
snv_nordost,wideroe_nordvest,36
snv_nordost,odd_nansens_vest,3
snv_nordost,snv_east,11
snv_nordost,martin_linges_sydost,45
snv_nordost,rolfsbukt_syd,6
wideroe_nordvest,snv_syd,135
wideroe_nordvest,bbv_west,1
wideroe_nordvest,e18_vest,124
wideroe_nordvest,e18_ost,108
wideroe_nordvest,ring3_nord,46
wideroe_nordvest,snv_nordost,31
wideroe_nordvest,odd_nansens_vest,23
wideroe_nordvest,snv_east,76
wideroe_nordvest,martin_linges_sydost,303
wideroe_nordvest,rolfsbukt_syd,40
odd_nansens_vest,snv_syd,1
odd_nansens_vest,e18_vest,4
odd_nansens_vest,e18_ost,3
odd_nansens_vest,ring3_nord,1
odd_nansens_vest,snv_nordost,1
odd_nansens_vest,martin_linges_sydost,1
snv_east,snv_syd,2
snv_east,bbv_west,1
snv_east,e18_vest,6
snv_east,e18_ost,6
snv_east,ring3_nord,2
snv_east,snv_nordost,2
snv_east,wideroe_nordvest,4
snv_east,odd_nansens_vest,1
snv_east,martin_linges_sydost,5
snv_east,rolfsbukt_syd,1
martin_linges_sydost,snv_syd,9
martin_linges_sydost,e18_vest,18
martin_linges_sydost,e18_ost,15
martin_linges_sydost,ring3_nord,7
martin_linges_sydost,snv_nordost,4
martin_linges_sydost,wideroe_nordvest,11
martin_linges_sydost,odd_nansens_vest,2
martin_linges_sydost,snv_east,1
martin_linges_sydost,rolfsbukt_syd,8
rolfsbukt_syd,snv_syd,28
rolfsbukt_syd,e18_vest,58
rolfsbukt_syd,e18_ost,51
rolfsbukt_syd,ring3_nord,22
rolfsbukt_syd,snv_nordost,14
rolfsbukt_syd,wideroe_nordvest,36
rolfsbukt_syd,odd_nansens_vest,8
rolfsbukt_syd,snv_east,5
rolfsbukt_syd,martin_linges_sydost,16
