from_zone,to_zone,vehicles_per_hour
snv_syd,bbv_west,1
snv_syd,e18_vest,126
snv_syd,e18_ost,110
snv_syd,ring3_nord,47
snv_syd,snv_nordost,31
snv_syd,wideroe_nordvest,79
snv_syd,odd_nansens_vest,17
snv_syd,snv_east,10
snv_syd,martin_linges_sydost,88
snv_syd,rolfsbukt_syd,11
bbv_west,snv_syd,5
bbv_west,e18_vest,2
bbv_west,e18_ost,2
bbv_west,ring3_nord,1
bbv_west,snv_nordost,1
bbv_west,odd_nansens_vest,2
bbv_west,snv_east,64
bbv_west,martin_linges_sydost,10
bbv_west,rolfsbukt_syd,2
e18_vest,snv_syd,63
e18_vest,bbv_west,1
e18_vest,wideroe_nordvest,117
e18_vest,odd_nansens_vest,11
e18_vest,snv_east,36
e18_vest,martin_linges_sydost,142
e18_vest,rolfsbukt_syd,18
e18_ost,snv_syd,56
e18_ost,bbv_west,1
e18_ost,wideroe_nordvest,102
e18_ost,odd_nansens_vest,10
e18_ost,snv_east,31
e18_ost,martin_linges_sydost,125
e18_ost,rolfsbukt_syd,16
ring3_nord,snv_syd,24
ring3_nord,wideroe_nordvest,44
ring3_nord,odd_nansens_vest,4
ring3_nord,snv_east,14
ring3_nord,martin_linges_sydost,54
ring3_nord,rolfsbukt_syd,7
snv_nordost,snv_syd,16
snv_nordost,wideroe_nordvest,29
snv_nordost,odd_nansens_vest,2
snv_nordost,snv_east,9
snv_nordost,martin_linges_sydost,36
snv_nordost,rolfsbukt_syd,5
wideroe_nordvest,snv_syd,108
wideroe_nordvest,bbv_west,1
wideroe_nordvest,e18_vest,99
wideroe_nordvest,e18_ost,86
wideroe_nordvest,ring3_nord,37
wideroe_nordvest,snv_nordost,25
wideroe_nordvest,odd_nansens_vest,18
wideroe_nordvest,snv_east,61
wideroe_nordvest,martin_linges_sydost,242
wideroe_nordvest,rolfsbukt_syd,32
odd_nansens_vest,snv_syd,1
odd_nansens_vest,e18_vest,3
odd_nansens_vest,e18_ost,2
odd_nansens_vest,ring3_nord,1
odd_nansens_vest,snv_nordost,1
odd_nansens_vest,martin_linges_sydost,1
snv_east,snv_syd,2
snv_east,bbv_west,1
snv_east,e18_vest,5
snv_east,e18_ost,5
snv_east,ring3_nord,2
snv_east,snv_nordost,2
snv_east,wideroe_nordvest,3
snv_east,odd_nansens_vest,1
snv_east,martin_linges_sydost,4
snv_east,rolfsbukt_syd,1
martin_linges_sydost,snv_syd,7
martin_linges_sydost,e18_vest,14
martin_linges_sydost,e18_ost,12
martin_linges_sydost,ring3_nord,6
martin_linges_sydost,snv_nordost,3
martin_linges_sydost,wideroe_nordvest,9
martin_linges_sydost,odd_nansens_vest,1
martin_linges_sydost,snv_east,1
martin_linges_sydost,rolfsbukt_syd,6
rolfsbukt_syd,snv_syd,22
rolfsbukt_syd,e18_vest,46
rolfsbukt_syd,e18_ost,41
rolfsbukt_syd,ring3_nord,18
rolfsbukt_syd,snv_nordost,11
rolfsbukt_syd,wideroe_nordvest,29
rolfsbukt_syd,odd_nansens_vest,6
rolfsbukt_syd,snv_east,4
rolfsbukt_syd,martin_linges_sydost,13
